(32, 19040) RGBA
1:3 - Diorite - (0.4668046928916494, 0.4668046928916494, 0.47448544635245404)
1:4 - Polished Diorite - (0.47789871854253513, 0.47789871854253513, 0.48509340744171686)
3:0 - Dirt - (0.3836170915533135, 0.2739933339338798, 0.18932828874275592)
3:1 - Coarse Dirt - (0.31267549616195367, 0.22311577775126276, 0.15370480849540627)
3:2 - Podzol - (0.29074140903805284, 0.20375315770479974, 0.12738281406632182)
4:0 - Cobblestone - (0.3414393293549304, 0.3414393293549304, 0.3414393293549304)
5:0 - Oak Wood Plank - (0.4498736918080115, 0.3666907253699026, 0.22556838686394803)
5:1 - Spruce Wood Plank - (0.26967158380380013, 0.2020093486310933, 0.12099799672190857)
5:2 - Birch Wood Plank - (0.5081648758574637, 0.46616281187397557, 0.31960177259758393)
5:3 - Jungle Wood Plank - (0.4003323363243602, 0.2867397806580259, 0.20048339828997855)
5:4 - Acacia Wood Plank - (0.43097658480868073, 0.23342090234151913, 0.12954121454407005)
5:5 - Dark Oak Wood Plank - (0.15758442265795208, 0.10190631808278867, 0.0468681917211329)
6:0 - Oak Sapling - (0.2658970130108118, 0.4344511636430273, 0.07158695253802455)
6:1 - Spruce Sapling - (0.20099821746880572, 0.22836601307189544, 0.13285799168152107)
6:2 - Birch Sapling - (0.4648023143683703, 0.5914037746246039, 0.3318914451026312)
6:3 - Jungle Sapling - (0.19201469107280375, 0.3398850778982288, 0.07333688762514068)
6:4 - Acacia Sapling - (0.4493898258604141, 0.45613602084190324, 0.0815439462498286)
6:5 - Dark Oak Sapling - (0.21870915032679739, 0.33876633986928106, 0.11014093137254902)
7:0 - Bedrock - (0.24294654031825497, 0.24294654031825497, 0.24294654031825497)
8:0 - Flowing Water - (0.10286177280829686, 0.23371900826446282, 0.6388980716253443)
9:0 - Still Water - (0.10286177280829686, 0.23371900826446282, 0.6388980716253443)
14:0 - Gold Ore - (0.4031166787702735, 0.39454732510288065, 0.3585269910433309)
15:0 - Iron Ore - (0.3846344710723795, 0.3722161704187848, 0.36367707576857905)
16:0 - Coal Ore - (0.3370857125592918, 0.3370857125592918, 0.3370857125592918)
17:0 - Oak Wood - (0.3564325913180629, 0.28572247911961857, 0.17601892676631894)
17:1 - Spruce Wood - (0.24995347875529828, 0.18724973293359523, 0.10608222199248768)
17:3 - Jungle Wood - (0.32307818524899495, 0.25681352038723443, 0.13860037738944953)
18:0 - Oak Leaves - (0.11344345957561106, 0.28528068761751274, 0.037711522965350526)
18:1 - Spruce Leaves - (0.11344345957561106, 0.28528068761751274, 0.037711522965350526)
18:2 - Birch Leaves - (0.11344345957561106, 0.28528068761751274, 0.037711522965350526)
18:3 - Jungle Leaves - (0.11758877648724034, 0.29355980184005664, 0.036626285333666374)
20:0 - Glass - (0.6022727272727273, 0.6754679144385027, 0.6864973262032086)
21:0 - Lapis Lazuli Ore - (0.33989849198524846, 0.35026837550662726, 0.37035819914558005)
23:0 - Dispenser - (0.2955410839471905, 0.2955410839471905, 0.2955410839471905)
25:0 - Note Block - (0.293876731580004, 0.19730977715318207, 0.146884829016931)
26:0 - Bed - (0.687156102751178, 0.4551704919693976, 0.4562851497188023)
27:0 - Powered Rail - (0.6067898479573924, 0.41432949507572375, 0.28231128566752955)
28:0 - Detector Rail - (0.47147588765235826, 0.4000397456279809, 0.35315315315315315)
29:0 - Sticky Piston - (0.32393298275651217, 0.3197505197505197, 0.2641229464758877)
30:0 - Cobweb - (0.8623774509803922, 0.8623774509803922, 0.8623774509803922)
31:0 - Dead Shrub - (0.4850836039937447, 0.31189702875015035, 0.10001202935161795)
31:1 - Grass - (0.1944525636341493, 0.5054621848739496, 0.1467482645232006)
31:2 - Fern - (0.16282653636534486, 0.48227776733696676, 0.160546263233728)
32:0 - Dead Bush - (0.4850836039937447, 0.31189702875015035, 0.10001202935161795)
33:0 - Piston - (0.3567070684606546, 0.3200415137699692, 0.25891990066347903)
34:0 - Piston Head - (0.6025058823529412, 0.506035294117647, 0.3488470588235294)
35:0 - White Wool - (0.6337085014511219, 0.6337085014511219, 0.6337085014511219)
35:1 - Orange Wool - (0.6714972081547851, 0.36651084274769513, 0.15820672639916894)
35:2 - Magenta Wool - (0.545967964650649, 0.2165354874344104, 0.5750483291908313)
35:3 - Light Blue Wool - (0.30058614193008165, 0.3999790663596399, 0.6066708533947387)
35:4 - Yellow Wool - (0.5585336743393009, 0.5198022165387893, 0.08109121909633418)
35:5 - Lime Wool - (0.1698340874811463, 0.5415398327163032, 0.1371383518442342)
35:6 - Pink Wool - (0.6232368613520008, 0.38031553651656047, 0.44634834395569956)
35:7 - Gray Wool - (0.19060058669136945, 0.19060058669136945, 0.19060058669136945)
35:8 - Light Gray Wool - (0.45392867291844274, 0.4754830917874396, 0.4754830917874396)
35:9 - Cyan Wool - (0.11293582279328114, 0.33539449909656693, 0.4293381516429097)
35:10 - Purple Wool - (0.37201739850869925, 0.1543358188345761, 0.5623584645125655)
35:11 - Blue Wool - (0.11121892055791388, 0.1471531567953642, 0.4422343507849875)
35:12 - Brown Wool - (0.2463720676486634, 0.14729309072237734, 0.07934276820384455)
35:13 - Green Wool - (0.15981186639972034, 0.22129214732894778, 0.06952680586010741)
35:14 - Red Wool - (0.46946971228353884, 0.1283606225995553, 0.11638703591402197)
35:15 - Black Wool - (0.0772922502334267, 0.06634298163709929, 0.06634298163709929)
37:0 - Dandelion - (0.4193087404453307, 0.6340644732469258, 0.0027583914921900966)
38:0 - Poppy - (0.3939031862745098, 0.23216911764705883, 0.017248774509803923)
38:1 - Blue Orchid - (0.1470034341420184, 0.5960341198626343, 0.5419297662567851)
38:2 - Allium - (0.7014879710749548, 0.5489361702127659, 0.8401335002085941)
38:3 - Azure Bluet - (0.6386250885896527, 0.7525631939522798, 0.5466335931963147)
38:4 - Red Tulip - (0.394471231115397, 0.537769206043073, 0.15373406193078323)
38:5 - Orange Tulip - (0.3604875463698993, 0.5298993110757817, 0.12640169581346053)
38:6 - White Tulip - (0.3650468883205456, 0.5967178175618073, 0.25036231884057975)
38:7 - Pink Tulip - (0.39451847037157406, 0.5876069764922544, 0.28354457805221533)
38:8 - Oxeye Daisy - (0.6983699503897945, 0.7785494920859911, 0.5526340656744625)
39:0 - Brown Mushroom - (0.5436324024559318, 0.41485442661913247, 0.3292533174886116)
40:0 - Red Mushroom - (0.7686274509803922, 0.20058669136946117, 0.21096186506098502)
42:0 - Iron Block - (0.6643610547667343, 0.6643610547667343, 0.6643610547667343)
43:0 - Double Stone Slab - (0.4739478345855476, 0.4739478345855476, 0.4739478345855476)
43:2 - Double Wooden Slab - (0.4498736918080115, 0.3666907253699026, 0.22556838686394803)
43:3 - Double Cobblestone Slab - (0.3414393293549304, 0.3414393293549304, 0.3414393293549304)
43:4 - Double Brick Slab - (0.4125244193618407, 0.2783517835178352, 0.2419651255336083)
43:5 - Double Stone Brick Slab - (0.3461512983571807, 0.3461512983571807, 0.3461512983571807)
43:6 - Double Nether Brick Slab - (0.14907616892911013, 0.0746480643539467, 0.08839869281045752)
43:7 - Double Quartz Slab - (0.6135587568360678, 0.6062291583299987, 0.5885954381752702)
44:0 - Stone Slab - (0.5077851830387327, 0.5077851830387327, 0.5077851830387327)
44:2 - Wooden Slab - (0.4878920393097287, 0.3973950251563455, 0.24490525226877322)
44:3 - Cobblestone Slab - (0.37861612730198463, 0.37861612730198463, 0.37861612730198463)
44:4 - Brick Slab - (0.42864343229454793, 0.28969205236953716, 0.2512262585284898)
44:5 - Stone Brick Slab - (0.3505774912704808, 0.3505774912704808, 0.3505774912704808)
44:6 - Nether Brick Slab - (0.12652646550848318, 0.06376104846083512, 0.07532256425886417)
44:7 - Quartz Slab - (0.6898484601596871, 0.6812992232904242, 0.661289446526533)
45:0 - Bricks - (0.4125244193618407, 0.2783517835178352, 0.2419651255336083)
46:0 - TNT - (0.4391601049868767, 0.24383510884668827, 0.18997684113015284)
47:0 - Bookshelf - (0.37357931678418493, 0.301368363437329, 0.1926784506906211)
48:0 - Moss Stone - (0.3590554501370441, 0.4108707569049125, 0.3590554501370441)
49:0 - Obsidian - (0.056417613949895154, 0.05170143104145974, 0.08376558878710959)
50:0 - Torch - (0.5053763440860215, 0.4111954459203036, 0.2265022137887413)
51:0 - Fire - (0.826265998887034, 0.557118072604668, 0.27786179580346326)
52:0 - Monster Spawner - (0.08863460277728112, 0.1316884200488706, 0.16383574706478335)
53:0 - Oak Wood Stairs - (0.46373539314715784, 0.3780550604080016, 0.23267313659470523)
54:0 - Chest - (0.375951356152217, 0.27214593154334904, 0.1092436974789916)
55:0 - Redstone Wire - (0.8233256939139292, 0.0, 0.0)
56:0 - Diamond Ore - (0.3694444444444444, 0.39511619462599856, 0.4026083272815299)
57:0 - Diamond Block - (0.3254092631424052, 0.6424824338741125, 0.6279733657065077)
58:0 - Crafting Table - (0.31435710567412806, 0.2405413846954711, 0.14789519347562033)
